order_id,customer_id,customer_name,customer_email,order_date,product_id,product_name,product_category,quantity,unit_price,discount_percentage,shipping_cost,total_amount,payment_method,order_status,shipping_address,city,country,postal_code,is_priority_order,name
ORD000001,CUST9935,,jillrhodes@miller.com,2025-11-24 03:01:00,PROD189,Early Phone,Books,5,493.56,0.04,5.12,2374.21,Credit Card,Returned,"386 Shane Harbors, Port Lindachester, KY 20880",Port Matthew,India,12657,True,unknown customer
ORD000002,CUST7873,  Ian Cooper  ,blairamanda@yahoo.com,2025-04-22 07:32:00,PROD325,Bar Watch,Sports,10,57.94,0.06,32.49,577.13,UPI,Cancelled,"310 Kendra Common Apt. 164, Reidstad, MN 47067",Lake Joseph,India,90094,True,  Ian Cooper  
ORD000003,CUST7224,Lisa Jackson,stevennelson@watts.com,2025-12-24 13:21:00,PROD199,Drop Book,Groceries,5,315.18,0.29,16.83,1135.72,UPI,Pending,"4139 Lewis Parks Suite 724, East Julie, KS 98413",Hurstfurt,Canada,47948,False,Lisa Jackson
ORD000004,CUST5803,Zachary Hicks,callahaneric@conner.org,2026-02-18 01:46:00,PROD949,Attack Bag,Sports,8,1074.78,0.29,18.93,6123.68,UPI,Cancelled,"480 Erin Plain Suite 514, Mooretown, VA 35023",New Rita,Canada,82460,True,Zachary Hicks
ORD000005,CUST7227,Mark Lynch,kathryn88@george.com,2025-12-27 02:02:00,PROD384,Brother Watch,Beauty,4,1547.27,0.3,42.77,4375.13,UPI,Pending,"USNV Allen, FPO AE 74865",North Jessicaland,USA,70323,False,Mark Lynch
ORD000006,CUST3803,Betty Alvarez,allison96@hickman.com,2025-07-01 06:42:00,PROD646,Sell Bag,Fashion,5,1405.13,0.21,3.57,5553.83,Debit Card,Returned,"8713 Caleb Brooks Apt. 930, Lake Crystalbury, AZ 43810",New Johnfort,UK,28581,False,Betty Alvarez
ORD000007,CUST4752,Miranda Khan,kristenaguirre@gmail.com,2025-05-19 20:44:00,PROD941,Between Laptop,Groceries,9,443.13,0.1,38.42,3627.77,UPI,Pending,"6670 Bruce Stream Suite 133, New Shane, HI 37010",Wrightland,UK,58583,False,Miranda Khan
ORD000008,CUST8517,  Savannah Garcia  ,housemelinda@russell.com,2025-02-03 06:58:00,PROD246,Treatment Book,Fashion,10,1753.35,0.09,32.77,15988.26,Debit Card,Delivered,"60647 Henderson Street, Mooreport, AR 76415",Lake Leeton,Australia,77070,False,  Savannah Garcia  
ORD000009,CUST9085,Thomas Schmidt,yorkcasey@leonard.biz,2026-01-18 18:27:00,PROD193,Call Chair,Electronics,10,801.8,0.07,49.88,7506.62,Credit Card,Cancelled,"USNS Riley, FPO AE 81684",South Dianeshire,USA,69023,True,Thomas Schmidt
ORD000010,CUST5119,Dean Santiago,josephanderson@hotmail.com,2026-02-10 21:27:00,PROD666,First Chair,Electronics,10,131.74,0.11,49.81,1222.3,Cash on Delivery,Cancelled,"79911 William Curve, Nicolebury, LA 21177",Bassport,Australia,80674,True,Dean Santiago
