order_id,customer_id,customer_name,customer_email,order_date,product_id,product_name,product_category,quantity,unit_price,discount_percentage,shipping_cost,total_amount,payment_method,order_status,shipping_address,city,country,postal_code,is_priority_order,calculated_total,amount_mismatch,revenue,net_amount,order_month,is_high_value
ORD000001,CUST9935,Unknown Customer,jillrhodes@miller.com,2025-11-24 03:01:00,PROD189,Early Phone,Books,5,493.56,0.04,5.12,2374.21,Credit Card,Returned,"386 Shane Harbors, Port Lindachester, KY 20880",Port Matthew,India,12657,True,2374.208,False,2467.8,2369.09,2025-11,False
ORD000002,CUST7873,Ian Cooper,blairamanda@yahoo.com,2025-04-22 07:32:00,PROD325,Bar Watch,Sports,10,57.94,0.06,32.49,577.13,UPI,Cancelled,"310 Kendra Common Apt. 164, Reidstad, MN 47067",Lake Joseph,India,90094,True,577.126,False,579.4,544.64,2025-04,False
ORD000003,CUST7224,Lisa Jackson,stevennelson@watts.com,2025-12-24 13:21:00,PROD199,Drop Book,Groceries,5,315.18,0.29,16.83,1135.72,UPI,Pending,"4139 Lewis Parks Suite 724, East Julie, KS 98413",Hurstfurt,Canada,47948,False,1135.7189999999998,False,1575.9,1118.89,2025-12,False
ORD000004,CUST5803,Zachary Hicks,callahaneric@conner.org,2026-02-18 01:46:00,PROD949,Attack Bag,Sports,8,1074.78,0.29,18.93,6123.68,UPI,Cancelled,"480 Erin Plain Suite 514, Mooretown, VA 35023",New Rita,Canada,82460,True,6123.6804,False,8598.24,6104.75,2026-02,False
ORD000005,CUST7227,Mark Lynch,kathryn88@george.com,2025-12-27 02:02:00,PROD384,Brother Watch,Beauty,4,1547.27,0.3,42.77,4375.13,UPI,Pending,"USNV Allen, FPO AE 74865",North Jessicaland,USA,70323,False,4375.126,False,6189.08,4332.36,2025-12,False
ORD000006,CUST3803,Betty Alvarez,allison96@hickman.com,2025-07-01 06:42:00,PROD646,Sell Bag,Fashion,5,1405.13,0.21,3.57,5553.83,Debit Card,Returned,"8713 Caleb Brooks Apt. 930, Lake Crystalbury, AZ 43810",New Johnfort,UK,28581,False,5553.833500000001,False,7025.650000000001,5550.26,2025-07,False
ORD000007,CUST4752,Miranda Khan,kristenaguirre@gmail.com,2025-05-19 20:44:00,PROD941,Between Laptop,Groceries,9,443.13,0.1,38.42,3627.77,UPI,Pending,"6670 Bruce Stream Suite 133, New Shane, HI 37010",Wrightland,UK,58583,False,3627.773,False,3988.17,3589.35,2025-05,False
ORD000008,CUST8517,Savannah Garcia,housemelinda@russell.com,2025-02-03 06:58:00,PROD246,Treatment Book,Fashion,10,1753.35,0.09,32.77,15988.26,Debit Card,Delivered,"60647 Henderson Street, Mooreport, AR 76415",Lake Leeton,Australia,77070,False,15988.255,False,17533.5,15955.49,2025-02,True
ORD000009,CUST9085,Thomas Schmidt,yorkcasey@leonard.biz,2026-01-18 18:27:00,PROD193,Call Chair,Electronics,10,801.8,0.07,49.88,7506.62,Credit Card,Cancelled,"USNS Riley, FPO AE 81684",South Dianeshire,USA,69023,True,7506.62,False,8018.0,7456.74,2026-01,False
ORD000010,CUST5119,Dean Santiago,josephanderson@hotmail.com,2026-02-10 21:27:00,PROD666,First Chair,Electronics,10,131.74,0.11,49.81,1222.3,Cash on Delivery,Cancelled,"79911 William Curve, Nicolebury, LA 21177",Bassport,Australia,80674,True,1222.296,False,1317.4,1172.49,2026-02,False
ORD000011,CUST8433,Dr. Kendra Contreras,mcmillandennis@gmail.com,2025-12-16 17:48:00,PROD103,Voice Bag,Beauty,5,1538.35,0.1,14.68,6937.25,UPI,Processing,"4935 Grace Walk, Williamview, AR 12598",Calderonton,Canada,965,True,6937.255,False,7691.75,6922.57,2025-12,False
ORD000012,CUST3646,Carlos Whitney,barnold@smith.com,2025-09-17 03:55:00,PROD652,Offer Chair,Sports,5,1684.13,0.15,9.95,7167.5,Credit Card,Shipped,"826 Bobby Lakes Apt. 533, West Kimberlychester, WA 20758",Port Francisco,Canada,23707,False,7167.5025000000005,False,8420.650000000001,7157.55,2025-09,False
ORD000013,CUST4946,Allison Doyle,vpham@gmail.com,2025-09-08 00:07:00,PROD999,Example Phone,Electronics,6,1758.05,0.25,15.38,7926.61,Credit Card,Pending,"0733 Bailey View, East Andrew, MO 43526",Michelleview,Australia,46526,False,7926.605,False,10548.3,7911.23,2025-09,False
ORD000014,CUST3705,Jennifer Zavala,wilsontara@gmail.com,2026-02-22 02:48:00,PROD371,Partner Phone,Groceries,9,1532.84,0.04,23.76,13267.5,Wallet,Cancelled,"USNV Johnson, FPO AP 57460",Jessicamouth,UK,57700,True,13267.4976,False,13795.56,13243.74,2026-02,True
ORD000015,CUST8177,Kayla Cruz,bradley60@frost.com,2026-04-21 17:48:00,PROD629,Himself Watch,Electronics,4,1427.33,0.12,33.58,5057.78,Debit Card,Shipped,"514 Estrada Islands Suite 482, South Elizabeth, TX 98560",New Ashley,USA,53726,True,5057.781599999999,False,5709.32,5024.2,2026-04,False
ORD000016,CUST1964,April Mitchell,steven73@hotmail.com,2025-06-23 00:37:00,PROD334,Material Laptop,Electronics,9,464.08,0.07,3.55,3887.9,UPI,Returned,"148 Davis Terrace, Lake Lance, ID 19814",North Johnfort,India,80621,True,3887.8996,False,4176.72,3884.35,2025-06,False
ORD000017,  CUST8744  ,Angel Perry,psnyder@douglas.com,2025-05-23 21:31:00,PROD348,Start Chair,Books,4,1080.77,0.22,44.12,3416.12,Net Banking,Cancelled,"870 Samantha Crossing, Andersonmouth, NC 73760",Stephaniemouth,USA,80802,True,3416.1224,False,4323.08,3372.0,2025-05,False
ORD000018,CUST2612,Stephanie Simmons,juliawells@yahoo.com,2025-02-19 21:27:00,PROD162,Society Watch,Beauty,6,850.04,0.14,36.45,4422.66,UPI,Returned,"734 Jones Heights Apt. 455, East Edwardfurt, FL 93092",North Robert,India,43870,True,4422.6564,False,5100.24,4386.21,2025-02,False
ORD000019,CUST8260,Jennifer Clark,lstein@hotmail.com,2025-04-09 06:34:00,PROD927,Again Chair,Groceries,8,284.66,0.06,23.13,2163.77,Wallet,Pending,"0546 Medina Street Apt. 734, Tuckerfurt, TN 89517",Ramseymouth,India,17229,True,2163.7732,False,2277.28,2140.64,2025-04,False
ORD000020,CUST7658,Ms. Susan Vargas,dayderek@white-green.com,2025-11-30 17:53:00,PROD597,Development Watch,Fashion,1,1938.15,0.28,42.43,1437.9,Net Banking,Processing,"4641 Smith Plains Apt. 531, Port Anthonybury, AK 81940",East David,India,88248,True,1437.898,False,1938.15,1395.47,2025-11,False
ORD000021,CUST8973,Travis Marshall,gary91@gmail.com,2025-07-14 00:24:00,PROD258,Foreign Shoes,Home,5,1853.4,0.24,14.26,7057.18,Debit Card,Returned,"9663 Brittany Village, North Heidi, TX 79198",Port Tonyaton,India,46009,True,7057.18,False,9267.0,7042.92,2025-07,False
